Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity_log_sum,-46.070412985654286,-46.83261343309357,-31.956339698398505,-47.329234497245565,-27.63952918647618
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",total_fidelity,9.814628406151279e-21,4.579883310667299e-21,1.3229334790962233e-14,2.7872416632466925e-21,9.915280206565669e-13
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_hops,400.0,0.0,50.0,0.0,22.0
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_swaps,0.0,40.0,33.0,40.0,22.0
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity_loss,3.922286579177366,38.36455591755292,19.714364781126317,38.86038870205918,20.664465948050545
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity_loss,40.0000000000003,8.000000000000004,11.599999999999998,8.000000000000004,6.599999999999998
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity_log_sum,-3.926206722523725,-38.40377218046746,-19.734519882090655,-38.90039324461946,-20.685735153059646
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity_log_sum,-42.14420626313056,-8.428841252626103,-12.22181981630785,-8.428841252626103,-6.953794033416536
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_fidelity,0.01971832795852832,2.096301078428191e-17,2.6878616580999573e-09,1.2757743610836022e-17,1.038243853949935e-09
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",remote_fidelity,4.977414122938543e-19,0.00021847450052839265,4.921880838284667e-06,0.00021847450052839265,0.0009550049507968282
QAOA,40,940,780,81,2,"[20, 20]","['x', 'rz', 'reset', 'rx', 'cz', 'sx', 'rzz', 'id']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.9]",local_gate_num,3756.0,37231.0,18957.0,37499.0,19725.0
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",F_eff,0.6094106736399206,0.5406046682441032,0.6846365364584505,0.6472993943974868,0.7260395637028799
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",num_comms,3081.0,539.0,1640.0,1152.0,915.0
